"Gene Map Search - 'heart, ion channels, Coronary, Cardiac, cardiomyopathy, Myocardial'"										
Downloaded:	"Jan 12, 2016"									
"Copyright (c) 1966-2015 Johns Hopkins University OMIM, data are provided for research purposes only."										
Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Comments	Phenotype	Phenotype MIM number	Inheritance (in progress)	Pheno map key	Mouse Gene (from MGI)
1p31.1	1:74235386-74544431	"TNNI3K, CCDD"	TNNI3-interacting kinase	613932	mutation identified in 1 CCDD family	?Cardiac conduction disease with or without dilated cardiomyopathy	616117	Autosomal dominant	3	Tnni3k
1p31.1	1:77888514-77948642	"NEXN, NELIN, CMD1CC, CMH20"	"Nexilin, rat, homolog of"	613121		"Cardiomyopathy, hypertrophic, 20"	613876	Autosomal dominant	3	Nexn
1p31.1	1:77888514-77948642	"NEXN, NELIN, CMD1CC, CMH20"	"Nexilin, rat, homolog of"	613121		"Cardiomyopathy, dilated, 1CC"	613122		3	Nexn
1p22.3	1:86424085-86456557	CLCA2	"Chloride channel, calcium-activated, 2"	604003					Clca2	
1p22.3	1:86468842-86500293	CLCA1	"Chloride channel, calcium-activated, 1"	603906					Clca1	
1p22.3	1:86634275-86655375	CLCA3	"Chloride channel, calcium-activated, 3"	604337						
1p22.1	1:93885204-93909597	"GCLM, GLCLR"	"Glutamate-cysteine ligase, modifier subunit"	601176		"{Myocardial infarction, susceptibility to}"	608446		3	Gclm
1p13.3	1:110210713-110282616	KCNC4	"Potassium voltage-gated channel, Shaw-related subfamily, member 4"	176265					Kcnc4	
1p13.3	1:110517216-110519174	KCNA10	"Potassium voltage-gated channel, shaker-related subfamily, member 10"	602420					Kcna10	
1p13.3	1:110593579-110631513	"KCNA2, EIEE32"	"Potassium channel, voltage-gated, Shaker-related subfamily, member 2"	176262		"Epileptic encephalopathy, early infantile, 32"	616366	Autosomal dominant	3	Kcna2
1p13.3	1:110653559-110675032	KCNA3	"Potassium voltage-gated channel, shaker-related subfamily, member 3"	176263	mapped probably in error to chr.13				Kcna3	
1p13.2	1:111775821-111989575	"KCND3, KCND3S, KCND3L, SCA19, SCA22, BRGDA9"	"Potassium voltage-gated channel, Shal-related subfamily, member 3"	605411		Spinocerebellar ataxia 19	607346	Autosomal dominant	3	Kcnd3
1p13.2	1:111775821-111989575	"KCND3, KCND3S, KCND3L, SCA19, SCA22, BRGDA9"	"Potassium voltage-gated channel, Shal-related subfamily, member 3"	605411		Brugada syndrome 9	616399	Autosomal dominant	3	Kcnd3
1q21.2	1:147902819-147915286	"GJA8, CX50, CTRCT1, CZP1, CAE1"	Gap junction membrane channel protein alpha-8 (connexin 50)	600897		"Cataract 1, multiple types"	116200	Autosomal dominant	3	Gja8
1q21.3	1:151166021-151170296	"SCNM1, MGC3180"	Sodium channel modifier 1	608095					Scnm1	
1q21.3	1:154697461-154870277	"KCNN3, SK3, SKCA3"	"Potassium channel, calcium-activated, intermediate/small conductance, subfamily N, member 3"	602983					Kcnn3	
1q22	1:155277426-155289847	"HCN3, KIAA1535"	Hyperpolerization-activated cyclic nucleotide-gated potassium channel 3	609973					Hcn3	
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		"Emery-Dreifuss muscular dystrophy 2, AD"	181350	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		Malouf syndrome	212112	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		"Charcot-Marie-Tooth disease, type 2B1"	605588	Autosomal recessive	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		"Lipodystrophy, familial partial, 2"	151660	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		"Restrictive dermopathy, lethal"	275210	Autosomal recessive	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		"Cardiomyopathy, dilated, 1A"	115200	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		Hutchinson-Gilford progeria	176670	Autosomal recessive; Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		"Muscular dystrophy, limb-girdle, type 1B"	159001	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		"Heart-hand syndrome, Slovenian type"	610140	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		"Muscular dystrophy, congenital"	613205	Autosomal dominant	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		"Emery-Dreifuss muscular dystrophy 3, AR"	616516	Autosomal recessive	3	Lmna
1q22	1:156082545-156140088	"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B"	Lamin A/C	150330		Mandibuloacral dysplasia	248370	Autosomal recessive	3	Lmna
1q23.2	1:160037466-160070260	"KCNJ10, SESAME"	"Potassium inwardly-rectifying channel, subfamily J, member 10"	602208		SESAME syndrome	612780	Autosomal recessive	3	Kcnj10
1q23.2	1:160037466-160070260	"KCNJ10, SESAME"	"Potassium inwardly-rectifying channel, subfamily J, member 10"	602208		"Enlarged vestibular aqueduct, digenic"	600791	Autosomal recessive	3	Kcnj10
1q23.2	1:160079952-160090562	"KCNJ9, GIRK3"	"Potassium inwardly-rectifying channel, subfamily J, member 9"	600932					Kcnj9	
1q25.1	1:173183730-173208071	"TNFSF4, GP34, OX4OL"	"Tumor necrosis factor ligand superfamily, member 4"	603594		"{Myocardial infarction, susceptibility to}"	608446		3	Tnfsf4
1q25.3	1:180434795-180436801	VDAC4	Voltage-dependent anion channel 4	610030						
1q25.3	1:181483310-181806783	"CACNA1E, CACNL1A6"	"Calcium channel, voltage-dependent, alpha 1E subunit"	601013					Cacna1e	
1q31.3	1:196225778-196608559	"KCNT2, SLICK"	"Potassium channel, subfamily T, member 2"	610044					Kcnt2	
1q32	1:198700000-214400000	PFHB2	"Progressive familial heart block, type II"	140400	between D1S70 and D1S505	"Progressive familial heart block, type II"	140400	Autosomal dominant	2	
1q32.1	1:201039506-201112565	"CACNA1S, CACNL1A3, CCHL1A3, TTPP1, HOKPP1"	"Calcium channel, voltage-dependent, L type, alpha 1S subunit"	114208	"in mouse, mutation causes muscular dysgenesis"	"{Thyrotoxic periodic paralysis, susceptibility to, 1}"	188580	Isolated cases	3	Cacna1s
1q32.1	1:201039506-201112565	"CACNA1S, CACNL1A3, CCHL1A3, TTPP1, HOKPP1"	"Calcium channel, voltage-dependent, L type, alpha 1S subunit"	114208	"in mouse, mutation causes muscular dysgenesis"	{Malignant hyperthermia susceptibility 5}	601887		3	Cacna1s
1q32.1	1:201039506-201112565	"CACNA1S, CACNL1A3, CCHL1A3, TTPP1, HOKPP1"	"Calcium channel, voltage-dependent, L type, alpha 1S subunit"	114208	"in mouse, mutation causes muscular dysgenesis"	"Hypokalemic periodic paralysis, type 1"	170400	Autosomal dominant	3	Cacna1s
1q32.1	1:201359007-201377764	"TNNT2, CMH2, CMD1D, RCM3, LVNC6"	"Troponin-T2, cardiac"	191045		"Cardiomyopathy, hypertrophic, 2"	115195	Autosomal dominant	3	Tnnt2
1q32.1	1:201359007-201377764	"TNNT2, CMH2, CMD1D, RCM3, LVNC6"	"Troponin-T2, cardiac"	191045		"Cardiomyopathy, familial restrictive, 3"	612422	Autosomal dominant	3	Tnnt2
1q32.1	1:201359007-201377764	"TNNT2, CMH2, CMD1D, RCM3, LVNC6"	"Troponin-T2, cardiac"	191045		"Cardiomyopathy, dilated, 1D"	601494	Autosomal dominant	3	Tnnt2
1q32.1	1:201359007-201377764	"TNNT2, CMH2, CMD1D, RCM3, LVNC6"	"Troponin-T2, cardiac"	191045		Left ventricular noncompaction 6	601494	Autosomal dominant	3	Tnnt2
1q32.1	1:207034415-207081022	PFKFB2	"Fructose-2,6-bisphosphatase, cardiac isozyme"	171835					Pfkfb2	
1q32.2	1:210678313-211134114	"KCNH1, EAG, TMBTS, ZLS1"	"Potassium voltage-gated channel, subfamily H, member 1 (ether-a-go-go, drosophila, homolog of)"	603305		Zimmermann-Laband syndrome 1	135500	Autosomal dominant	3	Kcnh1
1q32.2	1:210678313-211134114	"KCNH1, EAG, TMBTS, ZLS1"	"Potassium voltage-gated channel, subfamily H, member 1 (ether-a-go-go, drosophila, homolog of)"	603305		Temple-Baraitser syndrome	611816	Autosomal dominant	3	Kcnh1
1q41	1:215002638-215237092	"KCNK2, TREK"	"Potassium channel, subfamily K, member 2"	603219					Kcnk2	
1q41	1:215567184-215621806	KCTD3	Potassium channel tetramerization domain-containing protein 3	613272					Kctd3	
1q42.13	1:226870571-226896102	"PSEN2, AD4, STM2, CMD1V"	Presenilin 2	600759		"Cardiomyopathy, dilated, 1V"	613697	Autosomal dominant	3	Psen2
1q42.13	1:226870571-226896102	"PSEN2, AD4, STM2, CMD1V"	Presenilin 2	600759		Alzheimer disease-4	606889	Autosomal dominant	3	Psen2
1q42.2	1:233614003-233672511	"KCNK1, TWIK1"	"Potassium channel, subfamily K, member 1"	601745					Kcnk1	
1q43	1:236686453-236764630	"ACTN2, CMD1AA, CMH23"	"Actinin, alpha-2"	102573		"Cardiomyopathy, hypertrophic, 23, with or without LVNC"	612158	Autosomal dominant	3	Actn2
1q43	1:236686453-236764630	"ACTN2, CMD1AA, CMH23"	"Actinin, alpha-2"	102573		"Cardiomyopathy, dilated, 1AA, with or without LVNC"	612158	Autosomal dominant	3	Actn2
1q43	1:237042237-237833987	"RYR2, VTSIP, ARVD2, ARVC2"	Ryanodine receptor-2 (cardiac)	180902		"Ventricular tachycardia, catecholaminergic polymorphic, 1"	604772	Autosomal dominant	3	Ryr2
1q43	1:237042237-237833987	"RYR2, VTSIP, ARVD2, ARVC2"	Ryanodine receptor-2 (cardiac)	180902		Arrhythmogenic right ventricular dysplasia 2	600996	Autosomal dominant	3	Ryr2
2p25.1	2:10911936-10914224	"KCNF1, KH1"	"Potassium voltage-gated channel, subfamily F, member 1"	603787					Kcnf1	
2p24.2	2:17877846-17932960	"KCNS3, KV9.3"	"Potassium voltate-gated channel, delayed-rectifier, subfamily S, member 3"	603888					Kcns3	
2p23.3	2:26692712-26731197	"KCNK3, TASK, PPH4"	"Potassium channel, subfamily K, member 3"	603220		"Pulmonary hypertension, primary, 4"	615344		3	Kcnk3
2p23.1	2:30231530-30260032	LBH	"Limb bud and heart development, mouse, homolog of"	611763					Lbh	
2p21	2:42442016-42494096	"KCNG3, KV6.3"	"Potassium voltage-gated channel, subfamily G, member 3"	606767					Kcng3	
2p16.3	2:47516573-47570330	"KCNK12, THIK2"	"Potassium channel, subfamily K, member 12"	607366					Kcnk12	
2p15	2:63120761-63840824	"WDPCP, C2orf86, BBS15, CHDTHP"	WD repeat-containing planar cell polarity effector	613580	mutation identified in 1 BBS15 family and 1 CHDTHP patient	"?Congenital heart defects, hamartomas of tongue, and polysyndactyly"	217085	Autosomal recessive	3	Wdpcp
2p15	2:63120761-63840824	"WDPCP, C2orf86, BBS15, CHDTHP"	WD repeat-containing planar cell polarity effector	613580	mutation identified in 1 BBS15 family and 1 CHDTHP patient	?Bardet-Biedl syndrome 15	615992	Autosomal recessive	3	Wdpcp
2p11.2	2:84971107-85059471	"KCMF1, DEBT91, FIGC"	Potassium channel modulatory factor 1	614719					Kcmf1	
2q11.1	2:95297323-95386076	"KCNIP3, KCHIP3, CSEN, DREAM"	Potassium channel-interacting protein 3	604662					Kcnip3	
2q11.2	2:98346154-98399153	"CNGA3, CNG3, ACHM2"	"Cyclic nucleotide-gated channel, alpha-3"	600053		Achromatopsia-2	216900	Autosomal recessive	3	Cnga3
2q14-q22	2:112200000-147900000	CMD1H	"Cardiomyopathy, dilated, 1H"	604288		"Cardiomyopathy, dilated, 1H"	604288		2	
2q21.1-q22	2:129100000-147900000	CHDS2	"Coronary heart disease, susceptibility to, 2"	608316		"{Coronary heart disease, susceptibility to, 2}"	608316		2	
2q23.3	2:151832770-152099987	"CACNB4, EJM6, EA5, EIG9"	"Calcium channel, voltage-dependent, beta 4 subunit"	601949		"{Epilepsy, idiopathic generalized, susceptibility to, 9}"	607682	Autosomal dominant	3	Cacnb4
2q23.3	2:151832770-152099987	"CACNB4, EJM6, EA5, EIG9"	"Calcium channel, voltage-dependent, beta 4 subunit"	601949		"Episodic ataxia, type 5"	613855		3	Cacnb4
2q23.3	2:151832770-152099987	"CACNB4, EJM6, EA5, EIG9"	"Calcium channel, voltage-dependent, beta 4 subunit"	601949		"{Epilepsy, juvenile myoclonic, susceptibility to, 6}"	607682	Autosomal dominant	3	Cacnb4
2q24.1	2:154698580-154858351	"KCNJ3, GIRK1"	"Potassium inwardly-rectifying channel, subfamily J, member 3"	601534					Kcnj3	
2q24.2	2:162371406-162838746	"KCNH7, ERG3, HERG3, Kv11.3"	"Potassium channel, voltage-gated, subfamily H, member 7"	608169					Kcnh7	
2q24.3	2:165087519-165204087	SCN3A	"Sodium channel, voltage-gated, type III, alpha polypeptide"	182391					Scn3a	
2q24.3	2:165130148-165392309	"SCN2A, SCN2A1, BFIC3, EIEE11, BFIS3, BFNIS"	"Sodium channel, voltage-gated, type II, alpha subunit"	182390	4 related genes on chr.2	"Seizures, benign familial infantile, 3"	607745	Autosomal dominant	3	Scn2a1
2q24.3	2:165130148-165392309	"SCN2A, SCN2A1, BFIC3, EIEE11, BFIS3, BFNIS"	"Sodium channel, voltage-gated, type II, alpha subunit"	182390	4 related genes on chr.2	"Epileptic encephalopathy, early infantile, 11"	613721	Autosomal dominant	3	Scn2a1
2q24.3	2:165989159-166149271	"SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3"	"Sodium channel, voltage-gated, type I, alpha polypeptide"	182389		Dravet syndrome	607208	Autosomal dominant	3	Scn1a
2q24.3	2:165989159-166149271	"SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3"	"Sodium channel, voltage-gated, type I, alpha polypeptide"	182389		"Migraine, familial hemiplegic, 3"	609634	Autosomal dominant	3	Scn1a
2q24.3	2:165989159-166149271	"SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3"	"Sodium channel, voltage-gated, type I, alpha polypeptide"	182389		"Febrile seizures, familial, 3A"	604403	Autosomal dominant	3	Scn1a
2q24.3	2:165989159-166149271	"SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3"	"Sodium channel, voltage-gated, type I, alpha polypeptide"	182389		"Epilepsy, generalized, with febrile seizures plus, type 2"	604403	Autosomal dominant	3	Scn1a
2q24.3	2:166195184-166375986	"SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D"	"Sodium channel, voltage-gated, type IX, alpha subunit"	603415		"Epilepsy, generalized, with febrile seizures plus, type 7"	613863	Autosomal dominant	3	Scn9a
2q24.3	2:166195184-166375986	"SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D"	"Sodium channel, voltage-gated, type IX, alpha subunit"	603415		"Paroxysmal extreme pain disorder,"	167400	Autosomal dominant	3	Scn9a
2q24.3	2:166195184-166375986	"SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D"	"Sodium channel, voltage-gated, type IX, alpha subunit"	603415		"Insensitivity to pain, congenital"	243000	Autosomal recessive	3	Scn9a
2q24.3	2:166195184-166375986	"SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D"	"Sodium channel, voltage-gated, type IX, alpha subunit"	603415		"HSAN2D, autosomal recessive"	243000	Autosomal recessive	3	Scn9a
2q24.3	2:166195184-166375986	"SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D"	"Sodium channel, voltage-gated, type IX, alpha subunit"	603415		"Febrile seizures, familial, 3B"	613863	Autosomal dominant	3	Scn9a
2q24.3	2:166195184-166375986	"SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D"	"Sodium channel, voltage-gated, type IX, alpha subunit"	603415		"{Dravet syndrome, modifier of}"	607208	Autosomal dominant	3	Scn9a
2q24.3	2:166195184-166375986	"SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D"	"Sodium channel, voltage-gated, type IX, alpha subunit"	603415		"Erythermalgia, primary"	133020	Autosomal dominant	3	Scn9a
2q24.3	2:166195184-166375986	"SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D"	"Sodium channel, voltage-gated, type IX, alpha subunit"	603415		Small fiber neuropathy	133020	Autosomal dominant	3	Scn9a
2q24.3	2:166403467-166494257	"SCN7A, SCN6A"	"Sodium channel, voltage-gated, type VII, alpha polypeptide"	182392					Scn7a	
2q24.3	2:166888486-167259752	"CMYA3, XIRP2"	Cardiomyopathy-associated protein 3	609778					Xirp2	
2q31.1	2:174747591-174764471	"CHRNA1, ACHRD, CMS1B, CMS1A"	"Cholinergic receptor, nicotinic, alpha polypeptide-1, muscle"	100690		"Myasthenic syndrome, congenital, 1B, fast-channel"	608930	Autosomal recessive; Autosomal dominant	3	Chrna1
2q31.1	2:174747591-174764471	"CHRNA1, ACHRD, CMS1B, CMS1A"	"Cholinergic receptor, nicotinic, alpha polypeptide-1, muscle"	100690		"Myasthenic syndrome, congenital, 1A, slow-channel"	601462	Autosomal dominant	3	Chrna1
2q31.1	2:174747591-174764471	"CHRNA1, ACHRD, CMS1B, CMS1A"	"Cholinergic receptor, nicotinic, alpha polypeptide-1, muscle"	100690		"Multiple pterygium syndrome, lethal type"	253290	Autosomal recessive	3	Chrna1
2q31.2	2:178525988-178830753	"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC"	Titin	188840		"Myopathy, proximal, with early respiratory muscle involvement"	603689		3	Ttn
2q31.2	2:178525988-178830753	"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC"	Titin	188840		"Myopathy, early-onset, with fatal cardiomyopathy"	611705	Autosomal recessive	3	Ttn
2q31.2	2:178525988-178830753	"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC"	Titin	188840		"Muscular dystrophy, limb-girdle, type 2J"	608807	Autosomal recessive	3	Ttn
2q31.2	2:178525988-178830753	"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC"	Titin	188840		"Cardiomyopathy, familial hypertrophic, 9"	613765		3	Ttn
2q31.2	2:178525988-178830753	"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC"	Titin	188840		"Cardiomyopathy, dilated, 1G"	604145		3	Ttn
2q31.2	2:178525988-178830753	"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC"	Titin	188840		"Tibial muscular dystrophy, tardive"	600334	Autosomal dominant	3	Ttn
2q35	2:218381765-218396893	"NRAMP1, NRAMP, SLC11A1"	"Solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1"	600266	within 220 kb of VIL1	"{Mycobacterium tuberculosis, susceptibility to infection by}"	607948		3	Slc11a1
2q35	2:218381765-218396893	"NRAMP1, NRAMP, SLC11A1"	"Solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1"	600266	within 220 kb of VIL1	"{Buruli ulcer, susceptibility to}"	610446		3	Slc11a1
2q35	2:219418376-219426738	"DES, CMD1I, MFM1, SCPNK, ARVD7, ARVC7, LGMD2R"	Desmin	125660	1 family with LGMD2R identified with mutation	"Myopathy, myofibrillar, 1"	601419	Autosomal recessive; Autosomal dominant	3	Des
2q35	2:219418376-219426738	"DES, CMD1I, MFM1, SCPNK, ARVD7, ARVC7, LGMD2R"	Desmin	125660	1 family with LGMD2R identified with mutation	"Cardiomyopathy, dilated, 1I"	604765		3	Des
2q35	2:219418376-219426738	"DES, CMD1I, MFM1, SCPNK, ARVD7, ARVC7, LGMD2R"	Desmin	125660	1 family with LGMD2R identified with mutation	"?Muscular dystrophy, limb-girdle, type 2R"	615325	Autosomal recessive	3	Des
2q35	2:219418376-219426738	"DES, CMD1I, MFM1, SCPNK, ARVD7, ARVC7, LGMD2R"	Desmin	125660	1 family with LGMD2R identified with mutation	"Scapuloperoneal syndrome, neurogenic, Kaeser type"	181400	Autosomal dominant	3	Des
2q35	2:219514169-219538771	"ACCN4, ASIC4, BNAC4"	"Cation channel, amiloride-sensitive, neuronal, 4"	606715					Asic4	
2q36.1	2:223051929-223055636	"KCNE4, MIRP3"	"Potassium channel, voltage-gated, ISK-related subfamily, member 4"	607775					Kcne4	
2q36.3	2:226731316-226798789	IRS1	Insulin receptor substrate-1	147545		"{Diabetes mellitus, noninsulin-dependent}"	125853	Autosomal dominant	3	Irs1
2q36.3	2:226731316-226798789	IRS1	Insulin receptor substrate-1	147545		"{Coronary artery disease, susceptibility to}"			3	Irs1
2q37.1	2:232526159-232536664	"CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C"	"Cholinergic receptor, nicotinic, delta polypeptide"	100720	mutation identified in 1 CMS3A patient and 1 CMS3C family	"?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency"	616323	Autosomal recessive	3	Chrnd
2q37.1	2:232526159-232536664	"CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C"	"Cholinergic receptor, nicotinic, delta polypeptide"	100720	mutation identified in 1 CMS3A patient and 1 CMS3C family	"?Myasthenic syndrome, congenital, 3A, slow-channel"	616321	Autosomal dominant	3	Chrnd
2q37.1	2:232526159-232536664	"CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C"	"Cholinergic receptor, nicotinic, delta polypeptide"	100720	mutation identified in 1 CMS3A patient and 1 CMS3C family	"Myasthenic syndrome, congenital, 3B, fast-channel"	616322	Autosomal recessive	3	Chrnd
2q37.1	2:232526159-232536664	"CHRND, ACHRD, SCCMS, CMS3A, CMS3B, CMS3C"	"Cholinergic receptor, nicotinic, delta polypeptide"	100720	mutation identified in 1 CMS3A patient and 1 CMS3C family	"Multiple pterygium syndrome, lethal type"	253290	Autosomal recessive	3	Chrnd
2q37.1	2:232765801-232776564	"KCNJ13, SVD, LCA16"	"Potassium inwardly-rectifying channel, subfamily J, member 13"	603208		Leber congenital amaurosis 16	614186	Autosomal recessive	3	Kcnj13
2q37.1	2:232765801-232776564	"KCNJ13, SVD, LCA16"	"Potassium inwardly-rectifying channel, subfamily J, member 13"	603208		Snowflake vitreoretinal degeneration	193230	Autosomal dominant	3	Kcnj13
2q37.1	2:233917361-234019521	"TRPM8, TRPP8"	"Transient receptor potential cation channel, subfamily M, member 8"	606678					Trpm8	
3p25.3	3:8733799-8746764	"CAV3, LGMD1C, LQT9"	Caveolin-3	601253	within 7-10kb of OXTR	"Creatine phosphokinase, elevated serum"	123320	Autosomal dominant	3	Cav3
3p25.3	3:8733799-8746764	"CAV3, LGMD1C, LQT9"	Caveolin-3	601253	within 7-10kb of OXTR	"Cardiomyopathy, familial hypertrophic"	192600	Autosomal dominant	3	Cav3
3p25.3	3:8733799-8746764	"CAV3, LGMD1C, LQT9"	Caveolin-3	601253	within 7-10kb of OXTR	Rippling muscle disease	606072	Autosomal dominant	3	Cav3
3p25.3	3:8733799-8746764	"CAV3, LGMD1C, LQT9"	Caveolin-3	601253	within 7-10kb of OXTR	"Myopathy, distal, Tateyama type"	614321	Autosomal dominant	3	Cav3
3p25.3	3:8733799-8746764	"CAV3, LGMD1C, LQT9"	Caveolin-3	601253	within 7-10kb of OXTR	"Muscular dystrophy, limb-girdle, type IC"	607801	Autosomal recessive; Autosomal dominant	3	Cav3
3p25.3	3:8733799-8746764	"CAV3, LGMD1C, LQT9"	Caveolin-3	601253	within 7-10kb of OXTR	Long QT syndrome 9	611818		3	Cav3
3p25.2	3:12583600-12664200	"RAF1, CRAF, NS5, CMD1NN"	Oncogene RAF1	164760		Noonan syndrome 5	611553		3	Raf1
3p25.2	3:12583600-12664200	"RAF1, CRAF, NS5, CMD1NN"	Oncogene RAF1	164760		LEOPARD syndrome 2	611554		3	Raf1
3p25.2	3:12583600-12664200	"RAF1, CRAF, NS5, CMD1NN"	Oncogene RAF1	164760		"Cardiomyopathy, dilated, 1NN"	615916	Autosomal dominant	3	Raf1
3p22.2	3:38548057-38649672	"SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2"	"Sodium channel, voltage-gated, type V, alpha polypeptide"	600163		Long QT syndrome-3	603830	Autosomal dominant	3	Scn5a
