Disease/Trait	Reported Gene(s)	Mapped_gene	Chr_pos	Reported Gene(s)	Strongest SNP-Risk Allele	SNPs
Coronary heart disease	PHACTR1	PHACTR1	12927312	PHACTR1	rs12526453-C	rs12526453
Coronary heart disease	LPA	LPA	160540105	LPA	rs3798220-C	rs3798220
Coronary heart disease	"CDKN2A, CDKN2B"	CDKN2B-AS1	22098575	"CDKN2A, CDKN2B"	rs4977574-G	rs4977574
Coronary heart disease	SH2B3	SH2B3	111446804	SH2B3	rs3184504-T	rs3184504
Coronary heart disease	LDLR	SMARCA4	11052925	LDLR	rs1122608-G	rs1122608
Coronary heart disease	MRPS6	LINC00310 - KCNE2	34226827	MRPS6	rs9982601-T	rs9982601
Coronary heart disease	intergenic	INPP5D	233133771	intergenic	rs10933436-A	rs10933436
Coronary heart disease	intergenic	BTD	15606497	intergenic	rs7651039-C	rs7651039
Coronary heart disease	intergenic	ASZ1	117427768	intergenic	rs7808424-G	rs7808424
Coronary heart disease	intergenic	ST3GAL4	126412002	intergenic	rs4937126-G	rs4937126
Coronary heart disease	intergenic	SMG6	2222311	intergenic	rs1231206-A	rs1231206
Coronary heart disease	intergenic	CNNM2	102959339	intergenic	rs12413409-?	rs12413409
Coronary heart disease	intergenic	UBA52P6 - DMRTA1	22125504	intergenic	rs1333049-C	rs1333049
Coronary heart disease	MTAP	CDKN2B-AS1	22031006	MTAP	rs7865618-A	rs7865618
Coronary heart disease	LIPA	LIPA	89243170	LIPA	rs1412444-T	rs1412444
Coronary heart disease	FNDC1	FNDC1	159225301	FNDC1	rs365302-C	rs365302
Coronary heart disease	intergenic	FAM46A - IBTK	81805598	intergenic	rs16893526-G	rs16893526
Coronary heart disease	HFE2	"TRH-GTG1-1 - TRK-CTT2-1, HFE2"	146039391	HFE2	"rs12091564-?, rs10218795-?"	"rs12091564, rs10218795"
Coronary heart disease	intergenic	"OTOL1 - TOMM22P6, OTOL1 - TOMM22P6"	162443828	intergenic	"rs11924705-?, rs6789378-?"	"rs11924705, rs6789378"
Coronary heart disease	STK32B	"STK32B, STK32B"	5366258	STK32B	"rs7697839-?, rs7673097-?"	"rs7697839, rs7673097"
Coronary heart disease	"CDKN2A, CDKN2B"	"UBA52P6 - DMRTA1, UBA52P6 - DMRTA1"	22125348	"CDKN2A, CDKN2B"	"rs1333048-?, rs1333049-?"	"rs1333048, rs1333049"
Coronary heart disease	HSP90B1	"TTC41P, TTC41P"	103924218	HSP90B1	"rs1165668-?, rs1165669-?"	"rs1165668, rs1165669"
Coronary heart disease	PHACTR1	PHACTR1	12903725	PHACTR1	rs9349379-?	rs9349379
Coronary heart disease	PPAP2B	PPAP2B	56500678	PPAP2B	rs17114046-?	rs17114046
Coronary heart disease	"HLA, DRB-DQB"	HLA-DQB1 - MTCO3P1	32701596	"HLA, DRB-DQB"	rs11752643-T	rs11752643
Coronary heart disease	"CDKN2A, CDKN2B"	CDKN2B-AS1	22115287	"CDKN2A, CDKN2B"	rs944797-C	rs944797
Coronary heart disease	ALDH2	ALDH2	111803962	ALDH2	rs671-A	rs671
Coronary heart disease	MRAS	MRAS	138403280	MRAS	rs9818870-T	rs9818870
Coronary heart disease	"C12orf43, HNF1A"	HNF1A	120997784	"C12orf43, HNF1A"	rs2259816-T	rs2259816
Coronary heart disease	"SLC22A3, LPAL2, LPA"	"SLC22A3, LPAL2, LPA, LPA"	160442500	"SLC22A3, LPAL2, LPA"	"rs2048327-?, rs3127599-?, rs7767084-?, rs10755578-?"	"rs2048327, rs3127599, rs7767084, rs10755578"
Coronary heart disease	"SLC22A3, LPAL2, LPA"	"SLC22A3, LPAL2, LPA, LPA"	160442500	"SLC22A3, LPAL2, LPA"	"rs2048327-?, rs3127599-?, rs7767084-?, rs10755578-?"	"rs2048327, rs3127599, rs7767084, rs10755578"
Coronary heart disease	PHACTR1	PHACTR1	12903725	PHACTR1	rs9349379-G	rs9349379
Coronary heart disease	"TTC32, WDR35"	OSR1 - CISD1P1	19745816	"TTC32, WDR35"	rs2123536-T	rs2123536
Coronary heart disease	GUCY1A3	MTND1P22 - GUCY1A3	155590307	GUCY1A3	rs1842896-T	rs1842896
Coronary heart disease	"BTNL2, C6orf10"	C6orf10	32373576	"BTNL2, C6orf10"	rs9268402-G	rs9268402
Coronary heart disease	ATP2B1	ATP2B1	89687411	ATP2B1	rs7136259-T	rs7136259
Coronary heart disease	PHACTR1	PHACTR1	12903725	PHACTR1	rs9349379-G	rs9349379
Coronary heart disease	PHACTR1	PHACTR1	12903725	PHACTR1	rs9349379-G	rs9349379
Coronary heart disease	"HCG27, HLA-C"	HCG27 - HLA-C	31216419	"HCG27, HLA-C"	rs3869109-G	rs3869109
Coronary heart disease	ILR6	IL6R	154465420	ILR6	rs2229238-?	rs2229238
Coronary heart disease	VEGFA	VEGFA - LINC01512	43791136	VEGFA	rs6905288-T	rs6905288
Coronary heart disease	FHL5	FHL5 - RPS7P8	96632322	FHL5	rs12200560-?	rs12200560
Coronary heart disease	FN	FN1	215420652	FN	rs17458018-?	rs17458018
Coronary heart disease	CDKN2A/B	CDKN2B-AS1	22096056	CDKN2A/B	rs10757274-G	rs10757274
Coronary heart disease	C12orf51	HECTD4	112379979	C12orf51	rs11066280-A	rs11066280
Coronary heart disease	PHACTR1	PHACTR1	12903725	PHACTR1	rs9349379-G	rs9349379
Coronary heart disease	TCF21	TARID	133875536	TCF21	rs12524865-C	rs12524865
Coronary heart disease	CDKN2A/2B	CDKN2B-AS1	22103814	CDKN2A/2B	rs1333042-?	rs1333042
Coronary heart disease	"RPL6-PTPN11, ACAD10, ALDH2, C12orf51"	ACAD10	111730205	"RPL6-PTPN11, ACAD10, ALDH2, C12orf51"	rs11066015-A	rs11066015
Coronary heart disease	CUX2	CUX2	111241410	CUX2	rs886126-T	rs886126
Coronary heart disease	MYL2	MYL2	110912851	MYL2	rs3782889-C	rs3782889
Coronary heart disease	FLT1	FLT1	28409926	FLT1	rs9508025-C	rs9508025
Myocardial infarction in coronary artery disease	ABO	ABO	133266790	ABO	rs514659-C	rs514659
Coronary artery disease	ADAMTS7	ADAMTS7	78787892	ADAMTS7	rs1994016-C	rs1994016
Coronary artery disease or large artery stroke	CDKN2BAS	UBA52P6 - DMRTA1	22125504	CDKN2BAS	rs1333049-?	rs1333049
Coronary artery disease or large artery stroke	"SLC22A3, LPAL2, LPA"	LPA	160589086	"SLC22A3, LPAL2, LPA"	rs10455872-?	rs10455872
Coronary artery disease or large artery stroke	HDAC9	TWIST1	19009765	HDAC9	rs2107595-?	rs2107595
Coronary artery disease or large artery stroke	"LDLR, SMARCA4"	SMARCA4	11052925	"LDLR, SMARCA4"	rs1122608-?	rs1122608
Coronary artery disease or large artery stroke	PHACTR1	PHACTR1	12903203	PHACTR1	rs4714955-?	rs4714955
Coronary artery disease or large artery stroke	"RASD1, PEMT, RAI1"	EEF1A1P43 - RAI1	17640408	"RASD1, PEMT, RAI1"	rs12936587-?	rs12936587
Coronary artery disease or large artery stroke	SH2B3	ATXN2 - BRAP	111634620	SH2B3	rs11065987-?	rs11065987
Coronary artery disease or large artery stroke	ZC3HC1	ZC3HC1	130023656	ZC3HC1	rs11556924-?	rs11556924
Coronary artery disease or large artery stroke	SORT1	PSRC1	109279544	SORT1	rs599839-?	rs599839
Coronary artery disease or large artery stroke	ZNF259	ZPR1	116778201	ZNF259	rs964184-?	rs964184
Coronary artery disease or large artery stroke	TCF21	TCF21	133893387	TCF21	rs12190287-?	rs12190287
Coronary artery disease or large artery stroke	"NT5C2, CNNM2, YP17A1"	CNNM2	102959339	"NT5C2, CNNM2, YP17A1"	rs12413409-?	rs12413409
Coronary artery disease or large artery stroke	EDNRA	EDNRA	147480038	EDNRA	rs6841581-?	rs6841581
Coronary artery disease or large artery stroke	PPAP2B	PPAP2B	56497149	PPAP2B	rs17114036-?	rs17114036
Coronary artery disease or large artery stroke	ADAMTS7	RPL18P11 - DNM1P37	78727236	ADAMTS7	rs899997-?	rs899997
Coronary artery disease or large artery stroke	WDR12	WDR12	202888349	WDR12	rs7582720-?	rs7582720
Coronary artery disease or large artery stroke	ABO	ABO - SURF6	133278724	ABO	rs579459-?	rs579459
Coronary artery disease	CDKN2BAS	UBA52P6 - DMRTA1	22125504	CDKN2BAS	rs1333049-C	rs1333049
Coronary artery disease	PHACTR1	PHACTR1	12901209	PHACTR1	rs9369640-C	rs9369640
Coronary artery disease	"LDLR, SMARCA4"	SMARCA4	11052925	"LDLR, SMARCA4"	rs1122608-T	rs1122608
Coronary artery disease	KCNE2	LINC00310 - KCNE2	34226827	KCNE2	rs9982601-T	rs9982601
Coronary artery disease	ZC3HC1	ZC3HC1	130023656	ZC3HC1	rs11556924-T	rs11556924
Coronary artery disease	TCF21	TCF21	133893387	TCF21	rs12190287-G	rs12190287
Coronary artery disease	PPAP2B	PPAP2B	56497149	PPAP2B	rs17114036-G	rs17114036
Coronary artery disease	SORT1	CELSR2 - PSRC1	109278889	SORT1	rs602633-T	rs602633
Coronary artery disease	WDR12	WDR12	202881162	WDR12	rs6725887-C	rs6725887
Coronary artery disease	ADAMTS7	ADAMTS7 - TRK-CTT1-2	78849442	ADAMTS7	rs7173743-C	rs7173743
Coronary artery disease	MRAS	MRAS	138403280	MRAS	rs9818870-T	rs9818870
Coronary artery disease	SMG6	SMG6	2214651	SMG6	rs2281727-G	rs2281727
Coronary artery disease	"RASD1, PEMT, RAI1"	EEF1A1P43 - RAI1	17640408	"RASD1, PEMT, RAI1"	rs12936587-A	rs12936587
Coronary artery disease	ABO	ABO - SURF6	133278724	ABO	rs579459-C	rs579459
Coronary artery disease	LPL	LPL	19955669	LPL	rs264-A	rs264
Coronary artery disease	"ZNF259, APOA1, APO5A"	RPL15P15 - BUD13	116741017	"ZNF259, APOA1, APO5A"	rs9326246-C	rs9326246
Coronary artery disease	SH2B3	SH2B3	111446804	SH2B3	rs3184504-T	rs3184504
Coronary artery disease	EDNRA	PRMT5P1 - EDNRA	147472512	EDNRA	rs1878406-T	rs1878406
Coronary artery disease	"NT5C2, CNNM2, CYP17A1"	CNNM2	102959339	"NT5C2, CNNM2, CYP17A1"	rs12413409-A	rs12413409
Coronary artery disease	"SLC22A3, LPAL2, LPA"	SLC22A3	160442500	"SLC22A3, LPAL2, LPA"	rs2048327-C	rs2048327
Coronary artery disease	CXCL12	LINC00841 - CXCL12	44258419	CXCL12	rs501120-C	rs501120
Coronary artery disease	"COL4A1, COL4A2"		110308365	"COL4A1, COL4A2"	rs4773144-G	rs4773144
Coronary artery disease	ANKS1A	ANKS1A	34930678	ANKS1A	rs12205331-T	rs12205331
Coronary artery disease	SORT1	CELSR2	109275908	SORT1	rs646776-T	rs646776
Coronary artery disease	"ANRIL, CDKN2A, CDKN2B"	CDKN2B-AS1	22098575	"ANRIL, CDKN2A, CDKN2B"	rs4977574-G	rs4977574
Heart rate variability traits	YWHAQ	ADAM17 - YWHAQ	9581767	YWHAQ	rs6432018-?	rs6432018
Heart rate variability traits	RBPMS	RBPMS	30405270	RBPMS	rs2979481-?	rs2979481
Heart rate	MYH6	MYH6	23392602	MYH6	rs365990-G	rs365990
Heart rate	CD46	CD46	207767508	CD46	rs11118555-A	rs11118555
Heart rate	FADS1	FADS1	61803910	FADS1	rs174549-A	rs174549
Heart rate	KIAA1755	KIAA1755	38215636	KIAA1755	rs6127471-C	rs6127471
Heart rate	CCDC141	CCDC141	178856319	CCDC141	rs17362588-A	rs17362588
Heart rate	SYT10	SYT10	33424055	SYT10	rs7980799-A	rs7980799
Heart rate	GNG11	GNG11	93920284	GNG11	rs180242-T	rs180242
Heart rate	FNDC3B	FNDC3B	172067378	FNDC3B	rs9647379-C	rs9647379
Heart rate	CPNE8	CPNE8	38712929	CPNE8	rs826838-C	rs826838
Heart rate	TFPI	TFPI	187468337	TFPI	rs4140885-A	rs4140885
Heart rate	A2BP1	RBFOX1	6846127	A2BP1	rs11645781-G	rs11645781
Heart rate	MYOT	LOC101928005	137859073	MYOT	rs7722600-A	rs7722600
Heart rate	PDE11A	PDE11A	177815704	PDE11A	rs13413635-G	rs13413635
Heart rate	PPP1CC	PPP1CC	110717726	PPP1CC	rs11065706-T	rs11065706
Heart rate	CPNE5	CPNE5	36824281	CPNE5	rs236373-C	rs236373
Heart rate	ACTN4	ACTN4	38697472	ACTN4	rs11083475-G	rs11083475
Heart rate	SLC10A7	MIR7849 - POU4F2	146578186	SLC10A7	rs10213084-G	rs10213084
Heart rate	DCP1A	DCP1A	53344218	DCP1A	rs2029213-C	rs2029213
Electrocardiographic traits	MYH6	MYH6	23392602	MYH6	rs365990-G	rs365990
Congenital heart malformation	"TBX15, SPAG17"	RNA5SP56 - PSMC1P12	118360355	"TBX15, SPAG17"	rs2474937-C	rs2474937
Congenital heart malformation	MAML3	MAML3	139874173	MAML3	rs1531070-A	rs1531070
Coronary heart disease	"CELSR2, PSRC1, SORT1"	CELSR2	109275908	"CELSR2, PSRC1, SORT1"	rs646776-T	rs646776
Coronary heart disease	"ADAMTS7, MORF4L1"	ADAMTS7 - TRK-CTT1-2	78818751	"ADAMTS7, MORF4L1"	rs4380028-C	rs4380028
Coronary heart disease event reduction in response to statin therapy (interaction)	"DNAJC5B, TRIM55, CRH"	DNAJC5B	66062017	"DNAJC5B, TRIM55, CRH"	rs13279522-?	rs13279522
Major CVD	intergenic	TBC1D7 - GFOD1	13332235	intergenic	rs499818-?	rs499818
Resting heart rate	"GJA1, HMGB3P18"	RPL23AP48 - HMGB3P18	121793305	"GJA1, HMGB3P18"	rs9320841-?	rs9320841
Resting heart rate	MYH6	MYH6	23396676	MYH6	rs452036-G	rs452036
Coronary artery disease or ischemic stroke	CDKN2BAS	UBA52P6 - DMRTA1	22125504	CDKN2BAS	rs1333049-?	rs1333049
Coronary artery disease or ischemic stroke	SH2B3	ATXN2 - BRAP	111634620	SH2B3	rs11065987-?	rs11065987
Coronary artery disease or ischemic stroke	"SLC22A3, LPAL2, LPA"	LPA	160589086	"SLC22A3, LPAL2, LPA"	rs10455872-?	rs10455872
Coronary artery disease or ischemic stroke	"LDLR, SMARCA4"	SMARCA4	11052925	"LDLR, SMARCA4"	rs1122608-?	rs1122608
Coronary artery disease or ischemic stroke	PHACTR1	PHACTR1	12903203	PHACTR1	rs4714955-?	rs4714955
Coronary artery disease or ischemic stroke	ZC3HC1	ZC3HC1	130023656	ZC3HC1	rs11556924-?	rs11556924
Coronary artery disease or ischemic stroke	ZNF259	ZPR1	116778201	ZNF259	rs964184-?	rs964184
Coronary artery disease or ischemic stroke	ABO	ABO - SURF6	133278724	ABO	rs579459-?	rs579459
Coronary artery disease or ischemic stroke	ADAMTS7	DNM1P37	78737381	ADAMTS7	rs2219939-?	rs2219939
Coronary artery disease or ischemic stroke	WDR12	WDR12	202888349	WDR12	rs7582720-?	rs7582720
Coronary artery disease or ischemic stroke	SORT1	PSRC1	109279544	SORT1	rs599839-?	rs599839
Coronary artery disease or ischemic stroke	TCF21	TCF21	133893387	TCF21	rs12190287-?	rs12190287
Coronary artery disease or ischemic stroke	"RASD1, PEMT, RAI1"	EEF1A1P43 - RAI1	17641390	"RASD1, PEMT, RAI1"	rs12449964-?	rs12449964
Coronary artery disease or ischemic stroke	PPAP2B	PPAP2B	56497149	PPAP2B	rs17114036-?	rs17114036
Coronary artery disease or ischemic stroke	C6orf155	LINC00472 - KRT19P1	71484004	C6orf155	rs9351814-?	rs9351814
Heart rate	intergenic	SMARCE1P4 - ZNF703	37238541	intergenic	rs1015003-G	rs1015003
Heart rate	intergenic	IRX1 - LINC01020	4831488	intergenic	rs816475-T	rs816475
Heart rate	SERPINI1	SERPINI1	167790274	SERPINI1	rs13090836-T	rs13090836
Heart rate	TMEM132D	TMEM132D	129152803	TMEM132D	rs12824981-T	rs12824981
Heart rate	DAB2IP	DAB2IP	121713734	DAB2IP	rs35061590-T	rs35061590
Cardiovascular disease risk factors	MEPE	MEPE	87834676	MEPE	rs7698623-?	rs7698623
Cardiovascular disease risk factors	IRX4	IRX4	1877166	IRX4	rs4975709-?	rs4975709
Cardiovascular disease risk factors	MDF1	MDFI - NPM1P51	41655295	MDF1	rs2143678-?	rs2143678
Cardiovascular disease risk factors	intergenic	FLJ16779 - ARFGAP1	63264568	intergenic	rs1406961-?	rs1406961
Cardiovascular disease risk factors	BACE1	"BACE1, RNF214"	117286177	BACE1	rs1047964-?	rs1047964
Congenital heart disease	NR	HMGB1P47 - KATNBL1P4	51868281	NR	rs12186641-?	rs12186641
Conotruncal heart defects	FHIT	C3orf67-AS1 - FHIT	59663795	FHIT	rs6763159-?	rs6763159
Conotruncal heart defects	SLC22A24Â 	SLC22A24	63145382	SLC22A24Â 	rs4366490-?	rs4366490
Congenital heart disease	"STX18, MSX1, LOC100507266"	STX18-AS1	4646320	"STX18, MSX1, LOC100507266"	rs870142-A	rs870142
Heart rate	GJA1	RPL23AP48 - HMGB3P18	121810339	GJA1	rs1015451-C	rs1015451
Heart rate	ACHE	ACHE - RPS29P15	100899511	ACHE	rs13245899-G	rs13245899
Heart rate	SLC35F1	RPL29P4 - CEP85L	118346359	SLC35F1	rs11153730-T	rs11153730
Heart rate	"LINC00477, C12orf67"	KNOP1P1 - RPL21P102	24617944	"LINC00477, C12orf67"	rs17287293-A	rs17287293
Heart rate	HCN4	HCN4 - REC114	73373165	HCN4	rs4489968-T	rs4489968
