Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	1q41	1	221378197	LOC400804	C1orf140 - DUSP10	400804	11221		41901	323225	rs12733856-A	rs12733856		12733856		1	0.382	3.0E-6	5.522878745280337	(AA)	1.56	[0.97-2.51]	Affymetrix [up to 2,366,858] (imputed)
	20400778	Morrison AC	2010-04-16	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20400778	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality in heart failure	1,645 European ancestry cases, 881 European ancestry controls, 281 African ancestry cases, 185 African ancestry controls	NA	14q32.11	14	90213566	KCNK13	GLRXP2 - PSMC1	171418	5700		104263	42984	rs8017423-T	rs8017423		8017423		1	0.62	7.0E-6	5.154901959985743	(AA)	1.64	[0.94-2.78]	Affymetrix [up to 2,366,858] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	15q22.31	15	63445726	USP3	CA12 - USP3	771	9960		63850	58785	rs10519210-?	rs10519210		10519210		1	0.03	1.0E-8	8.0	(EA)	1.53	[1.05-2.24]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	12q14.1	12	58865846	LRIG3	RPL21P103 - LRIG3	100271433	121227		620942	6309	rs11172782-?	rs11172782		11172782		1	0.29	7.0E-8	7.154901959985743	(AA)	1.46	[1.03-2.09]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	1q41	1	220855166	LOC100129376	HLX-AS1			100873924			rs11118620-?	rs11118620		11118620	intron	0	0.29	7.0E-6	5.154901959985743	(EA)	1.15	[0.98-1.35]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	3q26.1	3	165562421	BCHE	SLITRK3 - BCHE	22865	590		365740	210483	rs1523288-?	rs1523288		1523288		1	0.65	6.0E-6	5.221848749616356	(EA)	1.15	[0.98-1.35]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	7p15.2	7	27290437	EVX1	RPL35P4 - EIF4HP1	100271006	401316		20684	165935	rs13225783-?	rs13225783		13225783		1	0.05	7.0E-6	5.154901959985743	(EA)	1.38	[0.96-1.99]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	8q21.13	8	82756885	SNX16	HNRNPA1P4 - RALYL	389674	138046		464494	1426333	rs6473383-?	rs6473383		6473383		1	0.15	3.0E-6	5.522878745280337	(EA)	1.19	[0.99-1.44]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	9p21.2	9	27533986	MOBKL2B	IFNK - C9orf72	56832	203228		7488	12559	rs10812610-?	rs10812610		10812610		1	0.50	4.9999999999999996E-6	5.301029995663981	(EA)	1.14	[0.99-1.31]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	10q23.31	10	89204857	CH25H	MIR4679-1 - CH25H	100616128	9023		141447	1080	rs11203032-?	rs11203032		11203032		1	0.10	8.0E-6	5.096910013008056	(EA)	1.22	[0.97-1.53]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	12q12	12	42859612	PRICKLE1	RPS27P21 - MRPS36P5	100131905	347703		180454	194471	rs1520832-?	rs1520832		1520832		1	0.04	1.0E-6	6.0	(EA)	1.39	[0.99-1.95]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	13q22.2	13	75202132	TBC1D4	SSR1P2 - CTAGE11P	100131189	647288		65195	35621	rs548097-?	rs548097		548097		1	0.02	6.0E-7	6.221848749616356	(EA)	1.62	[1.00-2.63]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	19p13.3	19	3159771	GNA15	GNA15			2769			rs11880198-?	rs11880198		11880198	intron	0	0.13	6.0E-6	5.221848749616356	(EA)	1.23	[0.98-1.54]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	2q14.3	2	126905321	LOC339760	GYPC - BIN1	2995	274		208646	142702	rs13418717-?	rs13418717		13418717		1	0.20	3.0E-6	5.522878745280337	(AA)	1.46	[0.97-2.20]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	9p22.2	9	18109237	SH3GL2	PABPC1P11 - PUS7P1	100421058	100421790		518541	44331	rs2210327-?	rs2210327		2210327		1	0.19	7.0E-7	6.154901959985743	(AA)	3.14	[0.99-10.00]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	11q24.2	11	126158822	RPUSD4	NAP1L1P1 - RPUSD4	729561	84881		90222	43272	rs563519-?	rs563519		563519		1	0.66	3.0E-6	5.522878745280337	(AA)	1.45	[0.97-2.17]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	12p11.22	12	29951209	TMTC1	RPL21P99 - RNA5SP356	100271429	100873615		292369	355222	rs2046383-?	rs2046383		2046383		1	0.30	3.0E-6	5.522878745280337	(AA)	1.39	[0.97-1.97]	Affymetrix & Illumina [2,478,304] (imputed)
	20445134	Smith NL	2010-05-04	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20445134	Association of genome-wide variation with the risk of incident heart failure in adults of European and African ancestry: a prospective meta-analysis from the cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.	Heart failure	20,926 European ancestry individuals, 2,895 African ancestry individuals	NA	12q21.33	12	91911494	BTG1	DCN - C12orf79	1634	256021		728465	73482	rs17019682-?	rs17019682		17019682		1	0.17	2.0E-6	5.698970004336019	(AA)	1.47	[0.98-2.22]	Affymetrix & Illumina [2,478,304] (imputed)
	24778558	Domarkiene I	2013-12-01	Balkan J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24778558	RTN4 and FBXL17 Genes are Associated with Coronary Heart Disease in Genome-Wide Association Analysis of Lithuanian Families.	Coronary heart disease	31 European ancestry cases and 63 European ancestry controls from 32 families	NA	1q32.1	1	202500595	PPP1R12B	PPP1R12B			4660			rs12734338-G	rs12734338		12734338	intron	0	NR	3.0E-7	6.522878745280337		29.0	[3.95-212.9]	Illumina [646,445]
	24778558	Domarkiene I	2013-12-01	Balkan J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24778558	RTN4 and FBXL17 Genes are Associated with Coronary Heart Disease in Genome-Wide Association Analysis of Lithuanian Families.	Coronary heart disease	31 European ancestry cases and 63 European ancestry controls from 32 families	NA	4q25	4	110812980	intergenic	PITX2 - MIR297	5308	100126354		170857	47602	rs3853444-G	rs3853444		3853444		1	NR	4.9999999999999996E-6	5.301029995663981		7.69	[2.70-20.0]	Illumina [646,445]
	24778558	Domarkiene I	2013-12-01	Balkan J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24778558	RTN4 and FBXL17 Genes are Associated with Coronary Heart Disease in Genome-Wide Association Analysis of Lithuanian Families.	Coronary heart disease	31 European ancestry cases and 63 European ancestry controls from 32 families	NA	15q25.2	15	84545426	UBE2Q2P1	UBE2Q2P1			388165			rs3883013-G	rs3883013		3883013	intron	0	NR	3.0E-7	6.522878745280337		29.0	[3.95-212.9]	Illumina [646,445]
	21347282	Lettre G	2011-02-10	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21347282	Genome-wide association study of coronary heart disease and its risk factors in 8,090 African Americans: the NHLBI CARe Project.	Coronary heart disease	260 African American cases, 5,053 African American controls	621 African American cases, 1,629 African American controls	5q31.3	5	142484039	intergenic	SPRY4 - RPS12P10	81848	100271056		158984	82661	rs17577085-?	rs17577085		17577085		1	0.46	4.0E-6	5.3979400086720375		2.631579	[1.72-3.85]	Affymetrix [~2.74 million] (imputed)
	21347282	Lettre G	2011-02-10	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21347282	Genome-wide association study of coronary heart disease and its risk factors in 8,090 African Americans: the NHLBI CARe Project.	Coronary heart disease	260 African American cases, 5,053 African American controls	621 African American cases, 1,629 African American controls	7q36.1	7	151423862	intergenic	WDR86-AS1 - CRYGN	100131176	155051		10508	6108	rs13232179-A	rs13232179		13232179		1	0.11	1.0E-6	6.0		1.67	[1.36-2.06]	Affymetrix [~2.74 million] (imputed)
	21347282	Lettre G	2011-02-10	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21347282	Genome-wide association study of coronary heart disease and its risk factors in 8,090 African Americans: the NHLBI CARe Project.	Coronary heart disease	260 African American cases, 5,053 African American controls	621 African American cases, 1,629 African American controls	13q31.1	13	84480131	intergenic	LINC00333			100874128			rs9546711-A	rs9546711		9546711		1	0.42	2.0E-6	5.698970004336019		1.66	[1.35-2.04]	Affymetrix [~2.74 million] (imputed)
	17903306	Newton-Cheh C	2007-09-18	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903306	Genome-wide association study of electrocardiographic and heart rate variability traits: the Framingham Heart Study.	Heart rate variability traits	747 European ancestry individuals from 307 families	NA	4q34.3	4	177397037	NEIL3	NEIL3 - AGA	55247	175		34099	33737	rs1395479-?	rs1395479		1395479		1	NR	7.0E-6	5.154901959985743	(LF/HF)			Affymetrix[70,897]
	17903306	Newton-Cheh C	2007-09-18	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903306	Genome-wide association study of electrocardiographic and heart rate variability traits: the Framingham Heart Study.	Heart rate variability traits	747 European ancestry individuals from 307 families	NA	13q13.3	13	36089165	DCAMKL1	DCLK1			9201			rs9315385-?	rs9315385		9315385	intron	0	NR	8.0E-6	5.096910013008056	(total power)			Affymetrix[70,897]
	21088011	Erdmann J	2010-11-18	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/21088011	Genome-wide association study identifies a new locus for coronary artery disease on chromosome 10p11.23.	Coronary heart disease	1,157 European ancestry cases, 1,748 European ancestry controls	7,887 European ancestry cases, 8,244 European ancestry controls	10p11.23	10	30027143	KIAA1462	KIAA1462			57608			rs3739998-C	rs3739998		3739998	missense	0	0.44	1.0E-11	11.0		1.15	[1.11-1.20]	Affymetrix [254,558]
	20639392	Eijgelsheim M	2010-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20639392	Genome-wide association analysis identifies multiple loci related to resting heart rate.	Resting heart rate	38,991 European ancestry individuals	NA	6q22.31	6	121824888	GJA1	RPL23AP48 - HMGB3P18	728567	644502		144429	33294	rs9398652-A	rs9398652		9398652		1	0.10	4.0E-15	14.397940008672037		12.6	[9.54-15.66]	Affymetrix & Illumina [~2.5 million] (imputed)
	20639392	Eijgelsheim M	2010-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20639392	Genome-wide association analysis identifies multiple loci related to resting heart rate.	Resting heart rate	38,991 European ancestry individuals	NA	14q11.2	14	23396676	MYH6	MYH6			4624			rs452036-A	rs452036		452036	intron	0	0.36	4.0E-14	13.397940008672037		7.8	[5.84-9.76]	Affymetrix & Illumina [~2.5 million] (imputed)
	20639392	Eijgelsheim M	2010-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20639392	Genome-wide association analysis identifies multiple loci related to resting heart rate.	Resting heart rate	38,991 European ancestry individuals	NA	14q11.2	14	23507801	MYH7, NDNG	NGDN - THTPA	25983	79178		29608	3959	rs223116-A	rs223116		223116		1	0.24	3.0000000000000004E-8	7.522878745280337		7.4	[4.85-9.95]	Affymetrix & Illumina [~2.5 million] (imputed)
	20639392	Eijgelsheim M	2010-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20639392	Genome-wide association analysis identifies multiple loci related to resting heart rate.	Resting heart rate	38,991 European ancestry individuals	NA	12p12.1	12	24617944	intergenic	KNOP1P1 - RPL21P102	100129937	100271432		32831	24709	rs17287293-G	rs17287293		17287293		1	0.15	2.0E-10	9.698970004336019		8.6	[6.03-11.17]	Affymetrix & Illumina [~2.5 million] (imputed)
	20639392	Eijgelsheim M	2010-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20639392	Genome-wide association analysis identifies multiple loci related to resting heart rate.	Resting heart rate	38,991 European ancestry individuals	NA	6q22.31	6	118252898	SLC35F1	SLC35F1			222553			rs281868-G	rs281868		281868	intron	0	0.50	4.0E-10	9.397940008672037		6.3	[4.36-8.24]	Affymetrix & Illumina [~2.5 million] (imputed)
	20639392	Eijgelsheim M	2010-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20639392	Genome-wide association analysis identifies multiple loci related to resting heart rate.	Resting heart rate	38,991 European ancestry individuals	NA	7q22.1	7	100855586	SLC12A9	SLC12A9			56996			rs314370-C	rs314370		314370	intron	0	0.19	6.0E-10	9.221848749616356		7.6	[5.23-9.97]	Affymetrix & Illumina [~2.5 million] (imputed)
	20639392	Eijgelsheim M	2010-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20639392	Genome-wide association analysis identifies multiple loci related to resting heart rate.	Resting heart rate	38,991 European ancestry individuals	NA	7q22.1	7	100889133	UFSP1	SRRT, UFSP1	51593	402682				rs12666989-C	rs12666989		12666989	intron;missense	0	0.18	2.0E-8	7.698970004336019		7.0	[4.63-9.37]	Affymetrix & Illumina [~2.5 million] (imputed)
	20639392	Eijgelsheim M	2010-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20639392	Genome-wide association analysis identifies multiple loci related to resting heart rate.	Resting heart rate	38,991 European ancestry individuals	NA	11q12.2	11	61803311	FADS1	FADS1			3992			rs174547-C	rs174547		174547	intron	0	0.33	2.0E-9	8.698970004336019		6.2	[4.22-8.18]	Affymetrix & Illumina [~2.5 million] (imputed)
	20639392	Eijgelsheim M	2010-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20639392	Genome-wide association analysis identifies multiple loci related to resting heart rate.	Resting heart rate	38,991 European ancestry individuals	NA	1q32.2	1	207955377	CD34	CD34 - PLXNA2	947	5362		44039	66865	rs2745967-G	rs2745967		2745967		1	0.37	7.0E-8	7.154901959985743		5.4	[3.48-7.32]	Affymetrix & Illumina [~2.5 million] (imputed)
	20639392	Eijgelsheim M	2010-07-15	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20639392	Genome-wide association analysis identifies multiple loci related to resting heart rate.	Resting heart rate	38,991 European ancestry individuals	NA	6q22.31	6	121427396	GJA1	HMGN2P29 - GJA1	100874472	2697		18581	8203	rs11154022-A	rs11154022		11154022		1	0.33	7.0E-8	7.154901959985743		5.8	[3.74-7.86]	Affymetrix & Illumina [~2.5 million] (imputed)
	24680774	Mezzavilla M	2014-03-25	Gene	www.ncbi.nlm.nih.gov/pubmed/24680774	Insight into genetic determinants of resting heart rate.	Resting heart rate	855 Friuli Venezia Giulia individuals	NA	5q35.3	5	179708814	CANX	CANX			821			rs6893300-C	rs6893300		6893300	intron	0	0.718343	9.000000000000001E-9	8.045757490560675				Illumina [2,058,182] (Imputed)
	24680774	Mezzavilla M	2014-03-25	Gene	www.ncbi.nlm.nih.gov/pubmed/24680774	Insight into genetic determinants of resting heart rate.	Resting heart rate	855 Friuli Venezia Giulia individuals	NA	5q35.3	5	179741096	MAML1	MAML1			9794			rs17617068-T	rs17617068		17617068	intron	0	0.71853	1.0E-8	8.0				Illumina [2,058,182] (Imputed)
	24800985	Agopian AJ	2014-05-05	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24800985	Genome-wide association study of maternal and inherited loci for conotruncal heart defects.	Conotruncal heart defects	537 European ancestry case-parent trios, 213 case-parent trios	348 European ancestry case-parent trios, 10 case-parent trios	2p16.3	2	52478914	AC139712.2	ZNF863P - MIR4431	100419682	100616431		401474	223608	rs6545278-?	rs6545278		6545278		1		8.0E-7	6.096910013008056	(EA, Inherited)	2.62	[1.76-3.90]	Illumina [2,421,290] Imputed
	24800985	Agopian AJ	2014-05-05	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24800985	Genome-wide association study of maternal and inherited loci for conotruncal heart defects.	Conotruncal heart defects	537 European ancestry case-parent trios, 213 case-parent trios	348 European ancestry case-parent trios, 10 case-parent trios	2q37.3	2	239522359	AC079612.1	MIR2467 - LOC401040	100616360	401040		170555	55942	rs6706785-?	rs6706785		6706785		1		6.0E-6	5.221848749616356	(EA, Inherited)	1.91	[1.44-.254]	Illumina [2,421,290] Imputed
